"","location","latitude","longitude","sampling"
"1","AM-423-NW",55.818921,-110.5829,"TOD"
"2","AM-425-NE",55.931393,-111.142482,"TOD"
"47","AM-426-NE",55.891998,-110.521149,"TOD"
"71","OG-4-12-A",54.605549,-110.224571,"TOD"
"72","OG-4-12-C",54.607782,-110.228105,"TOD"
"117","OG-4-12-D",54.611714,-110.224531,"TOD"
"120","BG-4-56",55.460208,-110.850888,"TOD"
"211","OG-4-11-E",54.597756,-110.210571,"TOD"
"257","Y-23-264-A",57.38749,-111.247925,"TOD"
"268","OG-2-8-B",54.667651,-110.953098,"TOD"
"269","OG-2-9-E",54.66091,-110.972,"TOD"
"316","Y-24-353-K",57.494632,-111.358779,"TOD"
"338","BG-2-73",56.43094,-110.975759,"TOD"
"362","BG-4-22",55.445071,-110.887936,"TOD"
"363","OG-34-121-A",55.671063,-113.533701,"TOD"
"364","Y-23-352-NW",57.331433,-111.327904,"TOD"
"427","BG-2-63",56.426223,-110.975049,"TOD"
"452","BG-4-50",55.453207,-110.811038,"TOD"
"479","BG-4-60",55.458679,-110.810632,"TOD"
"501","BG-4-29",55.4428,-110.821726,"TOD"
"502","BG-4-40",55.447942,-110.811506,"TOD"
"571","OG-27-93-B",55.133824,-113.287811,"TOD"
"595","OG-30-108-C",55.984835,-113.595703,"TOD"
"596","OG-30-108-E",55.994894,-113.605439,"TOD"
"638","BG-2-24",56.404129,-110.969084,"TOD"
"639","BG-2-34",56.408935,-110.965969,"TOD"
"801","BG-3-48",56.314492,-110.968348,"TOD"
"862","BG-6-32",56.217406,-110.891095,"TOD"
"863","BG-6-53",56.227836,-110.880275,"TOD"
"864","Y-30-329-CT",55.861026,-110.685851,"TOD"
"904","BG-6-94",56.249027,-110.868299,"TOD"
"960","Y-21-280-NW",56.01309,-110.802588,"TOD"
"974","BG-7-29",55.704652,-110.933357,"TOD"
"988","Y-14-391-SW",55.115584,-111.759565,"TOD"
"1016","Y-31-331-NW",55.918575,-110.55439,"TOD"
"1030","Y-24-234-A",57.420298,-111.550574,"TOD"
"1044","BG-9-29",54.822268,-111.443543,"TOD"
"1045","BG-9-3",54.813985,-111.500577,"TOD"
"1072","OG-10-37-E",55.051832,-111.780993,"TOD"
"1084","BG-9-84",54.856634,-111.487833,"TOD"
"1098","BG-9-65",54.845533,-111.479445,"TOD"
"1099","BG-9-70",54.844251,-111.432993,"TOD"
"1100","BG-9-87",54.855862,-111.459847,"TOD"
"1168","Y-39-414-A",54.98038,-111.836279,"TOD"
"1169","Y-39-414-B2",54.983633,-111.829752,"TOD"
"1170","Y-39-414-E",54.984761,-111.821165,"TOD"
"1210","OG-10-42-A",55.047422,-111.734343,"TOD"
"1211","OG-10-42-C",55.041159,-111.731349,"TOD"
"1235","BG-10-26",54.949447,-112.666649,"TOD"
"1236","BG-10-8",54.938306,-112.648548,"TOD"
"1262","Y-13-399-B",54.850499,-111.540107,"TOD"
"1276","OG-11-43-B",54.771991,-111.677939,"TOD"
"1277","OG-11-43-D",54.776466,-111.677921,"TOD"
"1299","OG-1-4-C",54.650079,-111.614349,"TOD"
"1300","OG-1-5-C",54.662156,-111.626856,"TOD"
"1301","OG-1-5-E",54.656485,-111.626862,"TOD"
"1367","BG-10-57",54.965357,-112.656639,"TOD"
"1381","Y-21-464-E",56.015233,-110.866545,"TOD"
"1395","Y-19-273-CT2",55.724596,-111.110029,"TOD"
"1396","Y-21-464-B",56.023613,-110.872132,"TOD"
"1423","Y-16-372-D",54.542635,-111.138081,"TOD"
"1448","BG-9-15",54.818735,-111.481618,"TOD"
"1460","BG-8-59",59.433285,-122.071053,"TOD"
"1462","BG-9-23",54.826068,-111.499294,"TOD"
"1463","BG-5-73",55.538681,-111.011029,"TOD"
"1497","BG-9-2",54.814088,-111.510288,"TOD"
"1510","BG-5-91",55.549766,-111.028927,"TOD"
"1517","BG-10-18",54.943724,-112.64802,"TOD"
"1518","BG-10-19",54.943535,-112.638723,"TOD"
"1519","BG-10-53",54.965997,-112.696297,"TOD"
"1558","BG-10-10",54.938323,-112.629301,"TOD"
"1559","BG-10-98",54.98679,-112.645596,"TOD"
"1585","OG-39-109-A",56.036619,-113.735717,"TOD"
"1586","OG-39-109-E",56.045066,-113.732589,"TOD"
"1587","Y-7-262-NW",57.467246,-111.215322,"TOD"
"1593","BG-9-5",54.813448,-111.482131,"TOD"
"1642","BG-9-49",54.833872,-111.442908,"TOD"
"1643","BG-9-52",54.841049,-111.507919,"TOD"
"1644","OG-9-40-E",54.954639,-111.853453,"TOD"
"1717","BG-9-81",54.857489,-111.515821,"TOD"
"1744","BG-9-63",54.846186,-111.498063,"TOD"
"1745","BG-9-77",54.850441,-111.460393,"TOD"
"1746","BG-9-89",54.85533,-111.440931,"TOD"
"1891","BG-6-34",56.21674,-110.871586,"TOD"
"1916","BG-6-12",56.206598,-110.892205,"TOD"
"1917","BG-7-1",55.696403,-111.010691,"TOD"
"1944","BG-7-16",55.700226,-110.962498,"TOD"
"1986","OG-17-59-D",55.452026,-110.589136,"TOD"
"1998","Y-39-416-D2",54.942858,-111.772681,"TOD"
"2060","OG-19-73-D",55.238398,-112.602937,"TOD"
"2061","OG-19-74-E",55.230196,-112.610186,"TOD"
"2087","BG-13-6",55.072322,-112.000794,"TOD"
"2101","AM-441-NW",55.162258,-111.774108,"TOD"
"2102","AM-442-CT",55.085589,-111.757743,"TOD"
"2103","AM-442-NW",55.088178,-111.761944,"TOD"
"2104","AM-442-SE",55.083004,-111.752838,"TOD"
"2105","AM-442-SW",55.082836,-111.762547,"TOD"
"2171","RS-19-NW",54.957438,-112.143097,"TOD"
"2199","Y-31-331-CT",55.915868,-110.548726,"TOD"
"2200","Y-31-331-NE",55.91854,-110.544839,"TOD"
"2202","Y-31-331-SW",55.912743,-110.556585,"TOD"
"2203","Y-31-333-CT",55.900848,-110.561902,"TOD"
"2204","Y-31-333-NE",55.90333,-110.557684,"TOD"
"2283","AM-423-CT",55.816164,-110.578126,"TOD"
"2297","BG-12-59",54.590116,-110.398068,"TOD"
"2298","BG-12-92",54.613828,-110.461793,"TOD"
"2299","BG-13-19",55.077276,-111.971627,"TOD"
"2319","BG-12-64",54.597224,-110.444986,"TOD"
"2320","BG-12-74",54.602542,-110.444357,"TOD"
"2321","BG-13-81",55.115983,-112.045394,"TOD"
"2361","OG-3-10-E",54.598483,-110.336215,"TOD"
"2411","OG-8-33-A",55.193179,-112.027417,"TOD"
"2426","OG-2-6-C",54.656561,-111.001736,"TOD"
"2427","OG-2-7-B",54.668101,-111.002357,"TOD"
"2428","OG-2-7-C",54.668927,-110.997116,"TOD"
"2530","RS-27-G",57.312059,-111.219013,"TOD"
"2544","BG-12-69",54.59421,-110.397311,"TOD"
"2546","BG-12-75",54.60193,-110.434535,"TOD"
"2568","BG-14-57",55.557933,-111.08759,"TOD"
"2607","BG-14-68",55.562783,-111.077596,"TOD"
"2608","OG-16-58-C",55.704227,-111.352608,"TOD"
"2647","BG-12-25",54.57555,-110.437762,"TOD"
"2648","BG-12-44",54.5865,-110.446292,"TOD"
"2666","BG-13-41",55.094554,-112.046935,"TOD"
"2667","BG-13-53",55.098715,-112.026826,"TOD"
"2692","OG-2-8-E",54.666695,-110.970743,"TOD"
"2756","OG-6-25-B",54.852112,-111.46524,"TOD"
"2784","NWTI-3-2-SE",60.13065,-113.41,"TOD"
"2818","RS-38-SE",57.445608,-111.384657,"TOD"
"2850","Y-58-421-C",54.748557,-112.367044,"TOD"
"2864","RETN-3-4",54.499145,-118.905539,"TOD"
"2878","BG-15-70",55.362867,-111.079902,"TOD"
"2879","RS-40-A",57.460916,-111.234237,"TOD"
"2880","RS-40-C",57.470623,-111.22666,"TOD"
"2881","Y-7-253-SW",57.471476,-111.216114,"TOD"
"2932","BG-15-81",55.373573,-111.165166,"TOD"
"2974","BG-17-83",54.75211,-118.96552,"TOD"
"3002","Y-23-288-CT",57.314824,-111.357391,"TOD"
"3016","LPRETN-700-12",52.717453,-116.321793,"TOD"
"3030","S-E0-31-8",57.84522,-115.566872,"TOD"
"3099","WLNP-2-3",49.09117,-113.96718,"TOD"
"3100","WLNP-22-1",49.054273,-113.92552,"TOD"
"3228","WLNP-16-5",49.073562,-114.026041,"TOD"
"3294","CHPP-WP-2",49.65272,-110.29738,"TOD"
"3370","ELE-5-2",52.401527,-116.275232,"TOD"
"11","633",55.970794,-112.23922,"TOY"
"4","791",55.034576,-112.23311,"TOY"
"125","923",54.233108,-111.66065,"TOY"
"126","956",54.045711,-111.69119,"TOY"
"127","958",53.975181,-111.10926,"TOY"
"141","538",56.549434,-112.45282,"TOY"
"148","122",58.93523,-111.107582,"TOY"
"159","272",57.993595,-110.466278,"TOY"
"161","65",59.318275,-110.953598,"TOY"
"163","93",59.160793,-111.064606,"TOY"
"165","301",57.819053,-110.839073,"TOY"
"173","1539",50.221923,-111.808769,"TOY"
"175","64",59.31958,-111.284081,"TOY"
"176","92",59.18782,-111.372108,"TOY"
"957","1210",52.939247,-114.774429,"TOY"
"958","1265",52.709812,-116.084496,"TOY"
"959","1292",52.525878,-116.379936,"TOY"
"9601","1293",52.514469,-116.083382,"TOY"
"961","1322",52.360622,-116.184082,"TOY"
"962","154",58.704395,-110.185188,"TOY"
"963","183",58.498306,-110.255699,"TOY"
"964","210",58.363522,-110.99514,"TOY"
"965","36",59.510143,-111.286217,"TOY"
"966","416",57.262726,-112.114517,"TOY"
"967","691",55.805694,-113.99424,"TOY"
"968","6",59.842426,-110.768616,"TOY"
"9881","1427",51.468898,-114.585999,"TOY"
"994","1425",51.51881,-115.188652,"TOY"
"1834","434",57.452529,-116.183952,"TOY"
"1835","403",57.633827,-116.425133,"TOY"
"1836","267",58.177471,-112.180862,"TOY"
"1840","19",59.607685,-110.419456,"TOY"
"1843","727",55.443119,-112.50106,"TOY"
"1894","676",56.161647,-118.711601,"TOY"
"1895","469",57.097446,-114.573807,"TOY"
"1899","526",56.911518,-116.249298,"TOY"
"1905","557",56.708755,-116.375343,"TOY"
"1907","1235",52.864364,-116.285347,"TOY"
"1926","676",56.161647,-118.7116,"TOY"
"1981","898",54.895935,-119.30656,"TOY"
"1983","898",54.895935,-119.306557,"TOY"
"2013","160",59.170574,-118.207489,"TOY"
"2014","191",58.945358,-117.481285,"TOY"
"2015","221",58.754405,-117.53981,"TOY"
"2017","251",58.629795,-117.546501,"TOY"
"2025","249",58.670001,-118.279434,"TOY"
"2026","190",58.980861,-117.833282,"TOY"
"2034","305",58.324382,-119.263962,"TOY"
"2065","1264",52.716617,-116.383934,"TOY"
"2070","306",58.347618,-118.988899,"TOY"
"2077","280",58.48693,-117.974716,"TOY"
"2082","161",59.192176,-117.813477,"TOY"
"2093","281",58.424129,-117.608231,"TOY"
"2095","279",58.451194,-118.30825,"TOY"
"21051","307",58.313648,-118.707001,"TOY"
"2138","1081",53.646213,-114.33432,"TOY"
"22021","1082",53.588359,-113.994789,"TOY"
"2276","250",58.663471,-117.926727,"TOY"
